A capital de Manaus é o Amazonas; F
A capital do estado do Acre é Rio Branco; V
A capital do estado do Tocantins é Palmas; V
A capital da França é Paris; V
A capital da Alemanha é Berlim; V
A capital da Itália é Madri; F
A capital da Espanha é Madrid; V
A capital da Espanha é Barcelona; F
A capital do Reino Unido é Londres; V
A capital do Reino Unido é Moscou; F
A capital de Portugal é Lisboa; V
A capital de Portugal é Faro; V
A capital da Bélgica é Bruxelas; V
A capital da Suíça é Zurique; F
A capital da Holanda é Amsterdã; V
A capital da Áustria é Viena; V
A capital da Grécia é Atenas; V
A capital da Rússia é Moscou; V
A capital da Rússia é Chernobil; F
A capital da Suécia é Estocolmo; V
A capital da Noruega é Oslo; V
A capital da Dinamarca é Copenhague; V
A capital da Polônia é Varsóvia; V
A capital da Polônia é Praga; F
A capital da República Tcheca é Praga; V
A capital da Hungria é Budapeste; V
A capital da Irlanda é Dublin; V
A capital da Finlândia é Estocolmo; F
A Terra é o planeta mais próximo do Sol; F
As abelhas são importantes para a polinização das flores; V
A fotossíntese é o processo pelo qual as plantas produzem oxigênio; V
Os anfíbios são animais que vivem exclusivamente na água; F
Os três estados da matéria são sólido, líquido e gás; V
A evaporação é o processo de transformação de água líquida em água sólida; F
A força de gravidade faz com que os objetos caiam para cima; F
As bactérias são seres unicelulares que podem ser úteis ou prejudiciais para o nosso corpo; V
O polo norte magnético da Terra está localizado na Antártica; F
O pH é uma medida que indica se uma solução é ácida, básica ou neutra; V
A lua é o único satélite natural da Terra; F
Os mamíferos são animais que possuem pelo e produzem leite para alimentar suas crias; V
A digestão é o processo de quebrar a comida em nutrientes para que o corpo possa utilizá-la; V
A vitamina C é encontrada em alimentos como abacate e pepino; F
A energia nuclear é obtida através da fissão de átomos de urânio ou plutônio; V
O sistema solar tem nove planetas; F
A água é formada pela combinação de hidrogênio e oxigênio; V
A lente convergente é usada para corrigir a miopia; V
O ciclo da água é composto por três fases: evaporação, condensação e precipitação; F
O DNA é o ácido nucleico responsável pela transmissão de características hereditárias; V
A água é o único composto químico que pode existir nos três estados da matéria; F
A presença de clorofila é o que dá a cor verde às plantas; V
A placa continental é a parte da litosfera que forma o fundo dos oceanos; F
A vacina é uma forma de imunização através da administração de uma dose controlada de um agente infeccioso; V
O músculo cardíaco é o único músculo involuntário do corpo humano; F
O ácido láctico é produzido durante a fermentação alcoólica; F
A energia solar é obtida através da captação dos raios ultravioleta do Sol; F
Os fungos são organismos eucariotas que obtêm energia por meio da fotossíntese; F
A fermentação é o processo pelo qual as bactérias transformam o açúcar em álcool; V
A espécie Homo sapiens é a única que compõe o gênero Homo; V
Um triângulo com três lados iguais é chamado de equilátero; V
O valor de π (pi) é aproximadamente 3,14; V
A adição e a multiplicação são operações inversas; F
A mediana de um conjunto de dados é o valor do meio termo quando os dados estão ordenados; V
A probabilidade de um evento é sempre maior que 1; F
O conjunto dos números pares e o conjunto dos números ímpares formam um par de conjuntos disjuntos; V
Uma reta pode ser definida por dois pontos; V
Na divisão, o número que divide é chamado de divisor; V
O comprimento de um círculo é chamado de diâmetro; F
A fração \frac{3}{8} é menor do que \frac{1}{4}; F
A figura geométrica formada por quatro lados iguais e quatro ângulos de 90° é chamada de quadrado; V
O número zero é considerado um número par; V
O produto de um número qualquer por zero é sempre igual a zero; V
A razão entre dois números é a mesma coisa que a diferença entre eles; F
A área de um retângulo é calculada multiplicando-se sua base pela sua altura; V
A medida de um ângulo é dada em graus; V
Dois números inteiros cuja soma é um número inteiro são chamados de números primos; F
A expressão \sqrt{9} é igual a 3; V
A interseção de dois conjuntos A e B é o conjunto formado pelos elementos que pertencem a A ou a B; F
Uma linha que divide um ângulo em dois ângulos iguais é chamada de bisetriz; V
Naruto Uzumaki é o nome do protagonista da série; V
Naruto é um ninja do País do Som; F
A técnica mais conhecida de Naruto é o Kamehameha; F
O animal que representa o chakra de Naruto é a raposa de nove caudas; V
Naruto é o Jinchūriki do Kyubi; V
Naruto foi treinado por Kakashi Hatake; V
Naruto nunca se tornou Hokage; F
Naruto é do time Uchiha; F
Hinata é quem Naruto se casa no futuro; V
Naruto nunca lutou contra Sasuke; F
Naruto fez amizade com o Kyubi; V
O pai de Naruto era o Quarto Hokage; V
Naruto nunca teve um irmão; F
Naruto é o único Jinchūriki vivo; F
Naruto era uma criança prodígio; F
Naruto tem cabelos amarelos e olhos azuis; V
Naruto é descendente do clã Uzumaki; V
Naruto treinou com o Sábio dos Seis Caminhos; V
Naruto nunca usou o modo sábio; F
Naruto era um estudante exemplar na Academia Ninja; F
A Terra é o planeta mais próximo do Sol;; F
As abelhas são importantes para a polinização das flores; V
A fotossíntese é o processo pelo qual as plantas produzem oxigênio; V
Os anfíbios são animais que vivem exclusivamente na água; F
Os três estados da matéria são sólido, líquido e gás; V
A evaporação é o processo de transformação de água líquida em água sólida; F
A força de gravidade faz com que os objetos caiam para cima; F
As bactérias são seres unicelulares que podem ser úteis ou prejudiciais para o nosso corpo; V
O polo norte magnético da Terra está localizado na Antártica; F
O pH é uma medida que indica se uma solução é ácida, básica ou neutra; V
A Terra é o planeta mais próximo do Sol; F
As abelhas são importantes para a polinização das flores; V
A fotossíntese é o processo pelo qual as plantas produzem oxigênio; V
Os anfíbios são animais que vivem exclusivamente na água; F
Os três estados da matéria são sólido, líquido e gás; V
A evaporação é o processo de transformação de água líquida em água sólida; F
A força de gravidade faz com que os objetos caiam para cima; F
As bactérias são seres unicelulares que podem ser úteis ou prejudiciais para o nosso corpo; V
O polo norte magnético da Terra está localizado na Antártica; F
O pH é uma medida que indica se uma solução é ácida, básica ou neutra; V
A lua é o único satélite natural da Terra; F
Os mamíferos são animais que possuem pelo e produzem leite para alimentar suas crias; V
A digestão é o processo de quebrar a comida em nutrientes para que o corpo possa utilizá-la; V
A vitamina C é encontrada em alimentos como abacate e pepino; F
A energia nuclear é obtida através da fissão de átomos de urânio ou plutônio; V
O sistema solar tem nove planetas; F
A água é formada pela combinação de hidrogênio e oxigênio; V
A lente convergente é usada para corrigir a miopia; V
O ciclo da água é composto por três fases: evaporação, condensação e precipitação; F
O DNA é o ácido nucleico responsável pela transmissão de características hereditárias; V
A água é o único composto químico que pode existir nos três estados da matéria; F
A presença de clorofila é o que dá a cor verde às plantas; V
A placa continental é a parte da litosfera que forma o fundo dos oceanos; F
A vacina é uma forma de imunização através da administração de uma dose controlada de um agente infeccioso; V
O músculo cardíaco é o único músculo involuntário do corpo humano; F
O ácido láctico é produzido durante a fermentação alcoólica; F
A energia solar é obtida através da captação dos raios ultravioleta do Sol; F
Os fungos são organismos eucariotas que obtêm energia por meio da fotossíntese; F
A fermentação é o processo pelo qual as bactérias transformam o açúcar em álcool; V
A espécie Homo sapiens é a única que compõe o gênero Homo; V
Um triângulo com três lados iguais é chamado de equilátero; V
O valor de π (pi) é aproximadamente 3,14; V
A adição e a multiplicação são operações inversas; F
A mediana de um conjunto de dados é o valor do meio termo quando os dados estão ordenados; V
A probabilidade de um evento é sempre maior que 1; F
O conjunto dos números pares e o conjunto dos números ímpares formam um par de conjuntos disjuntos; V
Uma reta pode ser definida por dois pontos; V
Na divisão, o número que divide é chamado de divisor; V
O comprimento de um círculo é chamado de diâmetro; F
A fração \frac{3}{8} é menor do que \frac{1}{4}; F
A figura geométrica formada por quatro lados iguais e quatro ângulos de 90° é chamada de quadrado; V
O número zero é considerado um número par; V
O produto de um número qualquer por zero é sempre igual a zero; V
A razão entre dois números é a mesma coisa que a diferença entre eles; F
A área de um retângulo é calculada multiplicando-se sua base pela sua altura; V
A medida de um ângulo é dada em graus; V
Dois números inteiros cuja soma é um número inteiro são chamados de números primos; F
A expressão \sqrt{9} é igual a 3; V
A interseção de dois conjuntos A e B é o conjunto formado pelos elementos que pertencem a A ou a B; F
Uma linha que divide um ângulo em dois ângulos iguais é chamada de bisetriz; V
Naruto Uzumaki é o nome do protagonista da série; V
Naruto é um ninja do País do Som; F
A técnica mais conhecida de Naruto é o Kamehameha; F
O animal que representa o chakra de Naruto é a raposa de nove caudas; V
Naruto é o Jinchūriki do Kyubi; V
Naruto foi treinado por Kakashi Hatake; V
Naruto nunca se tornou Hokage; F
Naruto é do time Uchiha; F
Hinata é quem Naruto se casa no futuro; V
Naruto nunca lutou contra Sasuke; F
Naruto fez amizade com o Kyubi; V
O pai de Naruto era o Quarto Hokage; V
Naruto nunca teve um irmão; F
Naruto é o único Jinchūriki vivo; F
Naruto era uma criança prodígio; F
Naruto tem cabelos amarelos e olhos azuis; V
Naruto é descendente do clã Uzumaki; V
Naruto treinou com o Sábio dos Seis Caminhos; V
Naruto nunca usou o modo sábio; F
Naruto era um estudante exemplar na Academia Ninja; F
Minecraft é um jogo de mundo aberto com gráficos em 3D; V
O jogador começa o jogo com uma picareta de diamante; F
O modo de jogo mais popular no Minecraft é o modo criativo; F
No Minecraft, é possível criar itens a partir de recursos coletados; V
No Minecraft, é possível domesticar animais; V
O jogador pode jogar Minecraft em primeira pessoa; V
O Minecraft não possui um sistema de dia e noite; F
No Minecraft, o jogador pode minerar blocos com a mão; V
O Minecraft é um jogo single player; F
No Minecraft, é possível criar portais para outros mundos; V
O jogador pode jogar Minecraft em terceira pessoa; V
O Minecraft foi desenvolvido pela Nintendo; F
No Minecraft, é possível criar armas e armaduras; V
O jogador pode se teletransportar no Minecraft; V
O Minecraft é jogado exclusivamente no Xbox; F
No Minecraft, é possível criar casas e castelos; V
O Minecraft não possui nenhum inimigo; F
O jogador pode construir um portal para o Nether; V
No Minecraft, é possível plantar e colher vegetais; V
O jogador não pode morrer no Minecraft; F
